Frame,A_x,A_y,A_Diameter,B_x,B_y,B_Diameter,C_x,C_y,C_Diameter,D_x,D_y,D_Diameter
107,824.0,332.0,22.0,868.0,428.0,30.0,932.0,492.0,34.0,1172.0,360.0,26.0
108,856.0,322.0,24.0,836.0,412.0,28.0,884.0,518.0,38.0,1214.0,372.0,28.0
109,884.0,316.0,20.0,806.0,396.0,28.0,826.0,546.0,40.0,1258.0,382.0,34.0
110,910.0,306.0,20.0,780.0,382.0,26.0,764.0,580.0,44.0,1308.0,396.0,34.0
111,554.0,388.0,26.0,1110.0,632.0,48.0,1188.0,400.0,28.0,1004.0,296.0,20.0
112,608.0,374.0,32.0,1044.0,590.0,44.0,1162.0,416.0,30.0,1030.0,304.0,18.0
113,654.0,360.0,32.0,986.0,556.0,42.0,1134.0,432.0,32.0,1060.0,312.0,20.0
114,694.0,352.0,24.0,934.0,526.0,36.0,1102.0,452.0,32.0,1090.0,320.0,22.0
115,730.0,340.0,24.0,890.0,498.0,36.0,1068.0,474.0,36.0,1122.0,328.0,22.0
116,766.0,330.0,22.0,852.0,474.0,36.0,1028.0,498.0,36.0,1156.0,336.0,24.0
117,800.0,322.0,20.0,816.0,452.0,32.0,984.0,526.0,36.0,1194.0,346.0,24.0
118,830.0,312.0,20.0,786.0,432.0,32.0,934.0,556.0,42.0,1232.0,358.0,22.0
119,860.0,304.0,24.0,758.0,416.0,28.0,876.0,592.0,44.0,1278.0,370.0,30.0
120,884.0,298.0,20.0,730.0,402.0,32.0,810.0,632.0,48.0,1326.0,384.0,34.0
121,544.0,366.0,40.0,1054.0,694.0,54.0,1242.0,418.0,34.0,1026.0,288.0,18.0
122,586.0,360.0,24.0,984.0,644.0,48.0,1218.0,434.0,38.0,1054.0,296.0,18.0
123,632.0,352.0,30.0,926.0,602.0,44.0,1192.0,456.0,34.0,1082.0,302.0,20.0
124,672.0,338.0,24.0,874.0,564.0,44.0,1160.0,478.0,40.0,1110.0,308.0,24.0
125,710.0,328.0,24.0,832.0,532.0,40.0,1128.0,504.0,38.0,1144.0,316.0,22.0
126,746.0,320.0,22.0,794.0,504.0,36.0,1088.0,534.0,42.0,1176.0,326.0,22.0
127,778.0,312.0,22.0,758.0,480.0,36.0,1044.0,564.0,42.0,1212.0,334.0,24.0
128,808.0,304.0,20.0,728.0,458.0,34.0,994.0,602.0,44.0,1250.0,342.0,26.0
129,836.0,296.0,22.0,698.0,438.0,32.0,936.0,644.0,50.0,1292.0,350.0,32.0
130,860.0,288.0,18.0,676.0,418.0,34.0,866.0,694.0,54.0,1342.0,364.0,24.0
131,530.0,352.0,40.0,982.0,768.0,58.0,1304.0,436.0,44.0,1048.0,280.0,18.0
132,572.0,346.0,24.0,912.0,708.0,54.0,1286.0,462.0,32.0,1074.0,286.0,16.0
133,618.0,334.0,32.0,852.0,656.0,50.0,1260.0,486.0,34.0,1100.0,292.0,20.0
134,656.0,324.0,28.0,802.0,612.0,48.0,1228.0,512.0,38.0,1132.0,298.0,20.0
135,690.0,318.0,24.0,760.0,572.0,48.0,1198.0,540.0,40.0,1160.0,308.0,18.0
136,726.0,312.0,20.0,722.0,538.0,46.0,1160.0,572.0,44.0,1192.0,312.0,26.0
137,756.0,302.0,22.0,692.0,512.0,38.0,1118.0,612.0,46.0,1228.0,320.0,24.0
138,786.0,294.0,20.0,660.0,486.0,36.0,1066.0,656.0,50.0,1266.0,328.0,28.0
139,814.0,290.0,16.0,634.0,466.0,40.0,1008.0,710.0,54.0,1310.0,344.0,32.0
140,840.0,282.0,18.0,612.0,446.0,38.0,938.0,768.0,58.0,1350.0,346.0,34.0
141,518.0,338.0,38.0,888.0,884.0,58.0,1378.0,478.0,50.0,1068.0,272.0,20.0
142,554.0,334.0,20.0,822.0,786.0,58.0,1356.0,484.0,52.0,1094.0,278.0,18.0
143,600.0,324.0,24.0,760.0,724.0,58.0,1334.0,514.0,48.0,1120.0,284.0,18.0
144,636.0,316.0,20.0,716.0,672.0,58.0,1310.0,548.0,42.0,1148.0,290.0,20.0
145,672.0,308.0,20.0,678.0,622.0,48.0,1278.0,586.0,52.0,1180.0,296.0,20.0
146,708.0,302.0,20.0,640.0,576.0,58.0,1248.0,624.0,44.0,1212.0,302.0,18.0
147,738.0,294.0,18.0,610.0,554.0,50.0,1206.0,666.0,58.0,1244.0,312.0,20.0
148,766.0,286.0,18.0,588.0,520.0,38.0,1154.0,722.0,54.0,1284.0,324.0,30.0
149,792.0,280.0,20.0,562.0,486.0,50.0,1096.0,786.0,58.0,1320.0,326.0,26.0
150,818.0,274.0,18.0,542.0,476.0,48.0,1030.0,884.0,58.0,1360.0,338.0,20.0
151,1032.0,858.0,58.0,1386.0,314.0,34.0,838.0,254.0,16.0,514.0,432.0,58.0
152,1104.0,764.0,58.0,1346.0,312.0,30.0,812.0,260.0,18.0,530.0,478.0,58.0
153,1156.0,686.0,58.0,1306.0,298.0,20.0,784.0,266.0,18.0,556.0,484.0,58.0
154,1208.0,632.0,52.0,1262.0,294.0,20.0,756.0,270.0,24.0,582.0,528.0,56.0
155,1244.0,578.0,58.0,1228.0,286.0,20.0,722.0,278.0,20.0,608.0,556.0,44.0
156,1276.0,548.0,54.0,1196.0,276.0,20.0,692.0,286.0,20.0,650.0,598.0,58.0
157,1306.0,504.0,54.0,1164.0,272.0,20.0,652.0,294.0,24.0,694.0,640.0,54.0
158,1332.0,478.0,44.0,1134.0,266.0,18.0,614.0,300.0,24.0,738.0,698.0,58.0
159,1350.0,450.0,48.0,1106.0,260.0,20.0,578.0,304.0,34.0,808.0,758.0,58.0
160,1368.0,426.0,48.0,1080.0,256.0,16.0,526.0,326.0,42.0,,,
161,924.0,748.0,58.0,1380.0,336.0,40.0,858.0,260.0,16.0,594.0,420.0,28.0
162,1000.0,676.0,58.0,1328.0,316.0,34.0,832.0,266.0,20.0,610.0,446.0,50.0
163,1060.0,622.0,54.0,1290.0,314.0,28.0,802.0,272.0,18.0,636.0,458.0,38.0
164,1110.0,576.0,48.0,1252.0,300.0,20.0,772.0,282.0,26.0,666.0,482.0,42.0
